,Country,Grape,Sweetness,Colour,Style,Closure,abv,Units,Description,Link
10,New Zealand,Sauvignon Blanc,Dry,White Wine,Tropical Whites,Screwcap,13.0,9.8,"Marlborough has been at the heart of a winemaking revolution without modern precedent, and Oyster Bay is one of the region's most dynamic wineries. Cool fermentation in stainless steel vats brings out every last ounce of flavour and concentration in the grapes. Showing pronounced aromas of gooseberry and tropical fruits, alongside a subtle herbaceousness. Crisp, elegant and refreshing. Suitable for all occasions, this is anything from classic apéritif wine, to white meat and seafood partner.",https://www.majestic.co.uk/Oyster-Bay-Sauvignon-Blanc-zid37047
11,Italy,Prosecco,Non,White Sparkling,Lighter sparkling,Non,11.0,8.3,"Although located around 100km west of Treviso, the romantically inspiring city of Verona is where Pasqua was founded in 1925, as well as having provided the backdrop for Shakespeare's Romeo &amp; Juliet. A pale, lightly aromatic and easy-drinking sparkling wine, with a soft mousse and an off-dry feel. Gentle flavours of pear, clementine and white apple are lifted by soft acidity. Enjoy on its own at any informal celebration, or as an accompaniment to summery salads and antipasti.",https://www.majestic.co.uk/Prosecco-Romeo-Juliet-zid23060
12,Spain,Tempranillo,Non,Red Wine,Smooth Reds,Natural Cork,14.0,10.5,"In 1858, Don Guillermo Hurtado de Amézaga, the Marqués de Riscal brought groundbreaking winemaking techniques from Bordeaux and transformed the face of Rioja. The Reserva is one of their iconic wines, widely regarded as one of the top examples of traditional Rioja. A classic Rioja Reserva. Full bodied and muscular, yet smoothly polished and embellished with complex aromas of vanilla and toasted oak, combined with summer fruit flavours. This wine goes well with ham, cheeses, and spicy casseroles. Will age for a further 5+ years.",https://www.majestic.co.uk/Rioja-Reserva-zid14210
13,New Zealand,Sauvignon Blanc,Dry,White Wine,Tropical Whites,Non,13.5,10.1,"We source our Parcel Series wines from top quality wineries from around the world and this comes from a winery that has attracted much international acclaim. A very well-rounded Sauvignon, the wine is pale and straw-like in colour, and is bursting with vibrant citrus and lemongrass aromas. The palate is clean and focused, with juicy acidity and good length. This will be stunning with oysters of other shellfish.",https://www.majestic.co.uk/Parcel-Series-Sauvignon-Blanc-zid37373
14,France,Grenache,Non,Red Wine,Spicy Reds,Natural Cork,14.0,10.5,"This cuvée is made by Ogier, one of the southern Rhône's most well-established producers. It has been created by blending fruit from four different village vineyards of subtly different terroirs all within the Châteauneuf-du-Pape appellation. A powerful, savoury-sweet bouquet of ripe black fruit and peppery spice, along with pungent herb notes redolent of thyme and rosemary. Fine tannins and hints of liquorice provide great length. Decant an hour before drinking. Great with venison casserole.",https://www.majestic.co.uk/Chateauneuf-du-Pape-zid06031
15,Argentina,Malbec,Non,Red Wine,Powerful Reds,Natural Cork,14.5,10.9,"Located in the foothills of the Andes  in Lujan de Cuyo, the winery has 40ha  of vineyards that were planted in the early 21st Century.  30% of the wine is aged in French Oak to add complexity and depth. A classic flavour of ripe blackcurrant with spicy black pepper and violet notes.  The soft tannins in the wine make it an ideal match for many foods but enjoyable on its own. With all grilled or roasted red meats.",https://www.majestic.co.uk/Hey-Malbec--zid40156
16,New Zealand,Sauvignon Blanc,Dry,White Wine,Zingy Whites,Screwcap,13.0,9.8,"The vineyards of The Ned are located on the banks of the Waihopai River and on the southern side of the Wairau Valley. The river runs the length of the 268ha vineyard and is the origin of the shingle-based soil. A nose of nettles and grass leads to generous gooseberry flavours with a smoky herbal twist on the palate. The stony terroir gives the wine a subtle gunflint minerality which delivers extra complexity. Drink now with fresh summer salads,  seafood or oriental food.",https://www.majestic.co.uk/The-Ned-Waihopai-River-Sauvignon-Blanc-zid37168
17,Portugal,Tinta Roriz,Non,Red Wine,Plummy Reds,Natural Cork,13.5,10.1,"As seen on TV.The area around Lisbon is a hive of winemaking activity, making uniquely styled wines primarily from blends of native Portuguese grapes. This wine comes from vineyards in the Alenquer and Cadaval regions, in the mountains to the north of Lisbon. Quintessentially Portuguese red, offering plenty of warm, jammy forest fruit flavours combined with heady aromas of violets and touches of spice. Supple, chewy tannins provide texture and length. Perfect with minted lamb chops.",https://www.majestic.co.uk/Porta-6-zid15006
18,New Zealand,Sauvignon Blanc,Dry,White Wine,Zingy Whites,Screwcap,12.0,9.0,"A great value Sauvignon Blanc from Giesen, a family winery still owned and run by the three brothers who founded it. This wine comes from 47 different vineyard sites in the Wairau Valley, cultivated by partner growers but vinified at Giesen's winery. Typically vibrant, citrussy and herbal Marlborough Sauvignon, with kaffir lime and blackcurrant leaf notes against a backdrop of grapefruit and tropical fruit flavours. Dry and mouthwatering. Drink with freshly prepared cold seafood dishes.",https://www.majestic.co.uk/Marlborough-Ridge-Sauvignon-Blanc-zid37335
19,Argentina,Malbec,Non,Red Wine,Powerful Reds,Screwcap,13.0,9.8,"This wine is made by Andean Vineyards, under Australian-born winemaker Stephen McEwan, and in true Argentinian tradition it is intentionally beefy! The Malbec grapes are harvested late for ultimate ripeness, fermented over 20 days then aged in oak for 6 months. Deep and vibrant Malbec with an intense nose of plum, damson and dark chocolate aromas. Lush and layered on the palate, with well-integrated oak and plenty of fine tannins. Drink with beef in all its guises, from steaks to stews.",https://www.majestic.co.uk/Beefsteak-Club-Malbec-zid40147
20,New Zealand,Sauvignon Blanc,Dry,White Wine,Zingy Whites,Screwcap,13.0,9.8,"Marlborough's long sunny days and cool climate leads to a long ripening season and a unique combination of very ripe fruit alongside fresh acidity. Villa Maria is an acclaimed family owned producer with an unwavering dedication to excellence. A medley of intense, ripe herbaceous characters on the nose, followed by rich gooseberry, lime and tropical fruit characteristics on the palate. A fantastic apéritif which will equally match all manner of seafood.",https://www.majestic.co.uk/Villa-Maria-Private-Bin-Sauvignon-Blanc-zid37063
21,France,Chardonnay,Dry,White Wine,Appley Whites,Natural Cork,13.0,9.8,"The family-run négociant house of Maison Louis Latour has been producing and selling wines since 1797. The limestone-rich soils of the Lugny village produce rich, buttery yet still Burgundian styles of Chardonnay with the typicity and style of the Mâcon. Pale gold in colour, with a beguiling aroma of fresh apples, lemon curd and toasted citrus fruits atop a palate of fresh and crisp green-apple acidity, buttery and peachy fruit and a long, warming finish. Perfectly acceptable on its own as an afternoon apéritif or with poultry, pork and or with fresh seafood.",https://www.majestic.co.uk/Macon-Lugny-zid04303
22,Italy,Prosecco,Non,White Sparkling,Lighter sparkling,Non,11.0,8.3,"This wine from a favourite majestic producer, La Gioiosa, comes from the premier area for Prosecco production; the hilly area between the towns of Conegliano and Valdobbiadene. Intensely fruity with a pungent nose of acacia flowers followed by a palate of fresh yellow apple and white peach.  The wine possesses fine and soft bubbles and finishes with a hint of honey. This makes a perfect aperitif or is perfect with marinated herby fish.",https://www.majestic.co.uk/Prosecco-La-Gioiosa-DOCG-zid23076
23,Non,Pinot Grigio/Gris,Dry,White Wine,Non,Screwcap,11.5,8.6,"This winery was founded in 1895 by Enrico Verga, who gained a reputation for fine Barolos. It is now run by great-grandson Natale along with his father and sisters. Their Pinot Grigio comes from vineyards in Pavia, Lombardy, close to its border with Piedmont. Delicate in both aromatics and flavours, this is classic north-Italian Pinot Grigio, offering gentle pear, white apple and refreshing citrus characters and subtle accents of blossom. Perfect with simple seafood dishes.",https://www.majestic.co.uk/Pinot-Grigio-zid13428
24,France,Merlot,Non,Red Wine,Plummy Reds,Natural Cork,13.5,10.1,"Château Recougne is an early-17th-century estate located around 10km north of Libourne, and is among the most well established of Bordeaux Supérieur properties. It is planted with around 75% Merlot, 15% Cabernet Sauvignon and 10% Cabernet Franc. Fleshy and robust, full of ripe black fruit accented with hints of mocha, smoke and toast. Plenty of fine-grained tannins providing prodigious grip and savoury texture. Drink now or over the next 5 years. Best with beef.",https://www.majestic.co.uk/Chateau-Recougne-zid01030
25,Italy,Pinot Grigio/Gris,Dry,Rosé Wine,Light Fresh Rosés,Screwcap,12.5,9.4,"Although thought of as a white grape, the Pinot Grigio grape's skins naturally develop a pink tinge when the berries are fully ripe, and it is these colour pigments that make this wine lightly rosé in colour. Fresh fruit, such as apricot and peach on the nose; soft floral flavours on the palate and a refreshing, pleasantly smooth finish. Excellent with appetizers, fish dishes, soups and white meat. This easy drinking rosé makes a great a apéritif for lazy summer afternoons!",https://www.majestic.co.uk/Pinot-Grigio-Rose-zid08139
26,New Zealand,Sauvignon Blanc,Dry,White Wine,Zingy Whites,Screwcap,13.0,9.8,"Mud House Wines was started in 1996, and is a producer focused on sustainable viticulture. Just over half the fruit for this wine is sourced from their own Woolshed vineyard in the Upper Wairau Valley, with the remainder sourced from partner growers. Pale straw yellow, with heady aromas of fresh grapefruit, guava and hints of nettles. Crisp, concentrated and vibrant on the palate, combining citrus and tropical fruit with green vegetal undertones. Chill well and enjoy on its own or with light summery rice or pasta dishes.",https://www.majestic.co.uk/Mud-House-Sauvignon-Blanc-zid37323
27,Argentina,Malbec,Non,Red Wine,Powerful Reds,Natural Cork,14.5,10.9,"Marcelo Pelleritti is the first Argentine winemaker to receive a perfect 100 points from Robert Parker (for 2010 Chateau La Violette in Pomerol).  He has brought this expertise to produce this exclusive brand for Majestic. Intensly flavoured with plum, blackcurrant, dried fruit, bramble and spice. Rich yet well balanced with a refreshing acidity that stops the sweet fruit flavour from cloying. Best with a rare steak.",https://www.majestic.co.uk/Marcelo-Pelleriti-Malbec-zid40164
28,Chile,Chardonnay,Dry,White Wine,Creamy Whites,Screwcap,13.0,9.8,"With grapes taken from 'La Escultura Estate,' where cool sea breezes help preserve the freshness in the grapes. Naturally occurring yeast in the grape skins are used instead of cultivated yeasts, along with subtle use of 10% French oak. This wine is unbelievably well balanced, with subtle tropical stone fruit in the form of apricot and peach mingling with subtle oak characters and a rich creaminess. Enjoy this wine over the next 2 years to allow further integration of oak and fruit, and enjoy with roast chicken and seafood dishes.",https://www.majestic.co.uk/Errazuriz-Wild-Ferment-Chardonnay-zid39213
29,Spain,Tempranillo,Non,Red Wine,Smooth Reds,Natural Cork,13.5,10.1,"From a bodega run by the illustrious Muriel group, this wine comes from vineyards in Rioja's Alta and Alavesa sub-regions. The traditional Crianza maturation sees this wine spending 12 months in American oak barrels and a further 12 months in bottle before release. Vivid cherry red in colour. The aromas show off the wine's oak ageing, with vanilla, coconut and balsamic notes coming to the fore. An elegant palate of ripe fruit framed by soft, polished tannins. The definitive accompaniment to tapas, especially those of red meat, lamb or cured cheeses.",https://www.majestic.co.uk/Rioja-Crianza-zid14473
30,Chile,Cabernet Sauvignon,Non,Red Wine,Blackcurrant Reds,Screwcap,13.0,9.8,"Cabernet Sauvignon is the most widely planted grape in Chile, and was among the first of the noble varieties to have been brought over from Europe in the mid-1800's. This example is made by one of the Central Valley's major wineries, based in Cachapoal. A medium-bodied, fruit-driven style of Cabernet that offers rounded, ripe red berry fruit with a plummy and easy-going feel. Hints of green pepper and subtle oak notes on the nose. A versatile pairing for many foods, from spicy kebabs to roasted veg.",https://www.majestic.co.uk/Silver-Ghost-Cabernet-Sauvignon-zid39347
31,Spain,Tempranillo,Non,Red Wine,Smooth Reds,Natural Cork,14.0,10.5,"Bodegas Beronia is named after the Berones, a Celtic tribe who lived during the 3rd Century BC, in the area now known as Rioja Alta where the winery is based. Dos Maderas means 'two woods': the barrels used by the winery are made from both American and French oak. Deep ruby-maroon in colour, with plenty of density. The complex nose is dominated by cinnamon and clove notes, with hints of toasted bread. Plenty of warm fruit, sweet tannins, and a velvet texture. Drink with tapas of hard cheeses, Iberico ham, or embuchados.",https://www.majestic.co.uk/Rioja-Reserva-zid14480
32,France,Chardonnay,Dry,White Wine,Toasty Whites,Natural Cork,13.0,9.8,"A Premier Cru from the Montagny appellation in Burgundy's Côte Chalonnaise. Cave des Vignerons de Buxy is an excellent, quality-conscious producer and, being a co-operative, offers excellent value for money. A delicious, fresh Chardonnay which has been fermented and matured in stainless steel tanks to preserve the pure peach, pear and acacia aromas. Soft and rich on the palate. Enjoy with cold cuts of ham, a cheese board or whole salmon.",https://www.majestic.co.uk/Montagny-1er-Cru-Les-Millieres--zid04058
33,France,Chardonnay,Dry,White Wine,Fresh Whites,Screwcap,12.5,9.4,"The Majestic Wine Definition range captures the quintessential qualities of the world's greatest wine styles, with a little help from some of the world's greatest winemakers...Chablis. A relatively cool, cloudy town in northern France where Chardonnay is grown and made into a truly unique style of wine. Our Chablis, a classic example of this famous wine.  Find crisp citrus fruits, a hint of white flowers and a touch of oatmeal. Our Chablis is a great food wine and can match with grilled sole, crab or a classic dish of the region ham in a creamy Chablis sauce.",https://www.majestic.co.uk/Definition-Chablis-zid04621
34,New Zealand,Sauvignon Blanc,Dry,White Wine,Zingy Whites,Screwcap,13.0,9.8,"Made from a selection of the best grapes grown throughout Marlborough. During vinification the wine was left on its lees for a brief spell which has given it excellent concentration and added depth. Displays pronounced aromas of gooseberry and passion fruit on the nose. It is fresh and beautifully crisp on the palate while being vibrantly fruity, ending in a long zingy finish. The perfect wine to take along to summer parties. Enjoy on its own or with crab or poached salmon salad.",https://www.majestic.co.uk/Villa-Maria-Cellar-Selection-Sauvignon-Blanc-zid37188
35,Portugal,Touriga Nacional,Non,Red Wine,Plummy Reds,Natural Cork,13.0,9.8,We asked our store managers to select and new wine to be stocked nation wide.  After an extensive tasting this was the wine they chose. They loved it and we are sure you will as well. This is a delightfully soft and rounded wine with loads of plum and bramble flavours plus touches of herbs.  Judicious use of oak adds a slight spiciness to the finish. This will be perfect with herby roast lamb.,https://www.majestic.co.uk/Agenda-Dao-Manager-s-Choice-zid15014
36,Argentina,Malbec,Non,Red Wine,Blackcurrant Reds,Screwcap,13.0,9.8,"The grapes for Alamos are grown at an altitude of between 3,000 and 5,000 feet where the temperature variation allows the grapes to grow slowly developing more flavour. This wine is all about bright red and black berry fruits.  It is soft and harmonious with just a touch of spice on the smooth finish. A great match for a rare steak or grilled sausages.",https://www.majestic.co.uk/Alamos-Uco-Valley-Malbec-zid40200
37,New Zealand,Sauvignon Blanc,Dry,White Wine,Zingy Whites,Screwcap,12.5,9.4,"The wine was produced by Invivo in New Zealand and then blended by Graham Norton.  Graham's special blend manages to successfully marry the tropical flavours of Wairu with the more punchy herbaceous characteristics of Awatere. ""That's it. That's the blend..this is my Sauvignon Blanc. A bit of this, a bit of that and a bit of alright. Enjoy"" Graham Norton June 2015 On it's own, chatting with friends, with goats cheese or oysters.",https://www.majestic.co.uk/Graham-Norton-s-Own-Sauvignon-Blanc-zid37367
38,New Zealand,Pinot Noir,Non,Red Wine,Cherry Reds,Screwcap,13.0,9.8,"Hurry! When it's gone, it's gone - wigig. We source the wines for our Parcel Series from world famous producers that for whatever reason have wines they can't bottle under their own labels.  We snap these up at a bargain price and pass the savings on to our customers. Bright and fruity this refreshing wine possesses elegant flavours of cherry and redcurrant.  It is medium bodied and perfectly balanced with a delightful hint of spice on the finish. This will be delicious with roast duck",https://www.majestic.co.uk/Parcel-Series-Pinot-Noir-zid37372
39,Spain,Grenache,Non,Red Wine,Smooth Reds,Natural Cork,13.5,10.1,"Bodegas Ramón Bilbao is situated in a privileged location: Haro, in Rioja Alta, a paradise where Rioja’s emblematic grape variety, Tempranillo, grows best. From vines with an average age of 40 years, this concentrated, intense Rioja is a blend of Tempranillo and Garnacha. This soft and supple wine is vibrant ruby in colour with aromas of red cherry and blackberry fruit and slight hints of vanilla on the medium bodied palate. Well structured with a long and pleasant finish which would be ideal with red meat stews and cheeses.",https://www.majestic.co.uk/Rioja-Single-Vineyard--zid14416
40,New Zealand,Pinot Grigio/Gris,Dry,White Wine,Fresh Whites,Screwcap,14.0,10.5,"The Karearea is the only falcon found in New Zealand and is a threatened species. Ned have a breeding pair, resident at the property, named Maggie and Astin. They take great delight in scaring away other birds thereby reducing the need for man-made pest control. A nose of pear drop, blossom and nectarine leading to a palate that is softer, richer and more tropical in flavour than its European counterpart. Lovely purity of fruit with a smooth finish. This will taste great alongside all manner of fresh salads and creamy pastas.",https://www.majestic.co.uk/The-Ned-Pinot-Grigio-zid37169
41,Argentina,Malbec,Non,Red Wine,Powerful Reds,Natural Cork,13.0,9.8,"From Mendoza where high altitude, large daily temperature variations, low rainfall, lots of sunshine and good soil allows the malbec grape to thrive.  It is no wonder that 70% of Argentina's wine production is in this area. Intense flavours of blackberries and plums.  Complexity and harmony is added to this wine by 9 months of ageing in oak  barrels. With all barbecued or grilled meat.",https://www.majestic.co.uk/Las-Maletas-Malbec-zid40155
42,New Zealand,Sauvignon Blanc,Dry,White Wine,Tropical Whites,Screwcap,12.5,9.4,"Classic New Zealand Sauvignon characters of gooseberry, passion fruit and green pepper.  Crisp, refreshing with a long finish. Try with seafood or goats cheese.",https://www.majestic.co.uk/Tu-Meke-Sauvignon-Blanc-zid37361
43,Argentina,Malbec,Non,Red Wine,Powerful Reds,Screwcap,12.5,9.4,Made from grapes grown on slopes in the Mendoza River Valley.  The bunches are hand harvested before destemming and crushing.  A natural malolactic fermentation is allowed to take place producing a wine with a soft mouth feel and a gentle character. Intense flavours of plum and cherry with gentle tannins make this a soft and fruity wine with a lengthy finish. A perfect match for grilled meat but works equally as well with all manner of pasta dishes.,https://www.majestic.co.uk/Villa-Nueva-Malbec-zid40153
44,France,Grenache,Non,Red Wine,Spicy Reds,Natural Cork,14.0,10.5,"Guigal is arguably the most famous producer in the Rhône Valley. Founded by Étienne Guigal in 1946, his son Marcel is almost single-handedly responsible for the regions resurgence over the last few decades. This full-bodied wine offers a robust core of dark fruit, and savoury white pepper notes that make it a superb food wine. Try with any red meat dishes or with rich vegetarian dishes like moussaka.",https://www.majestic.co.uk/Cotes-du-Rhone-zid06234
45,France,Cabernet Sauvignon,Non,Red Wine,Plummy Reds,Natural Cork,14.5,10.9,"Hurry! When it's gone, it's gone - wigig. This wine is from the same stable as Vieux Chateau Certan and the class shows through in this juicy plum and bramble flavours. It is  a real bargain!",https://www.majestic.co.uk/Chateau-Lauriol-zid02165
46,Argentina,Malbec,Non,Red Wine,Powerful Reds,Screwcap,13.0,9.8,"Great value Malbec from Bodegas Santa Ana, one of Argentina's oldest wineries, founded in 1891 By Italian wine pioneer Luis Tirasso. This is their benchmark Malbec, which offers great value and has previously been the recipient of several IWSC awards. Lively ruby colour with the violet hues that typify this grape. Plum and cherry characters predominate on both nose and palate. Medium-bodied, with supple tannins and a pleasantly soft finish. Ideal red for any barbecue, or for pairing with medium-strength firm cheeses.",https://www.majestic.co.uk/Santa-Ana-Malbec-zid40138
47,France,Sauvignon Blanc,Dry,White Wine,Zingy Whites,Natural Cork,12.5,9.4,"The Majestic Wine Definition range captures the quintessential qualities of the world's greatest wine styles, with a little help from the world's greatest winemakers...Sancerre. A beautiful hilltop town in the eastern part of the Loire Valley, famed for its pioneering Sauvignon Blanc. Our Sancerre is from the superb 2014 vintage. Find zingy blackcurrant leaf freshness with lime and stone fruit flavours. A great match for seafood from simple oysters to rich lobster dishes.  It of course is also a great match for goats cheese.",https://www.majestic.co.uk/Definition-Sancerre-zid05021
48,Spain,Grenache,Non,Red Wine,Smooth Reds,Screwcap,13.5,10.1,"Founded in 1879 by two brothers, Eusebio and Raimundo Real de Asúa, CVNE has remained in family hands, now in their fifth generation. CVNE has long been an innovator, embracing estate bottling and the extensive use of stainless steel. A lively cherry-red appearance leading to a nose of light summer fruits. This wine has undergone a period of one year in oak giving beautiful hints of vanilla amongst fruity cherry notes. A real treat, with a long and elegant finish. Partner with dry cured ham or roasted stuffed peppers.",https://www.majestic.co.uk/Rioja-Crianza-zid14336
49,France,Sauvignon Blanc,Dry,White Wine,Zingy Whites,Screwcap,12.5,9.4,"From a high-quality cooperative this classy Pouilly-Fumé provides a benchmark performance, with plenty of mineral characters and a crisp gooseberry zestiness. Smoky gunflint characters define wines from this prestigious appellation. Packed with classic Sauvignon Blanc flavours of gooseberries, orange blossom and citrus fruit backed by a crisp, elegant mineral character on the finish. Ideal on its own or with oily fish such as mackerel or trout.",https://www.majestic.co.uk/Pouilly-Fume-Les-Cascadelles-zid05361
50,USA,Zinfandel,Non,Red Wine,Smooth Reds,Natural Cork,14.5,10.9,"Lodi, in the Northern part of California's Central Valley, is known as the Zinfandel Capital of the World. Home to mature vine Zinfandel plantings in well-drained sandy soils, produce powerful and extractive wines that underline Ravenswood's 'No Wimpy Wines' motto. Bursting with concentrated sweet blueberry, plums and spice aromas. Bright and fruity with soft, ripe roundness and well balanced acidity, filled with vanilla and toasted spices that linger on the finish. A pleasure to drink by itself or with flavourful duck dishes. lamb or a cheese platter. Enjoy over the next four years.",https://www.majestic.co.uk/Ravenswood-Lodi-Zinfandel-zid18641
51,Australia,Syrah-Shiraz,Non,Red Wine,Spicy Reds,Screwcap,14.0,10.5,"The first qualified winemaker to move to the Clare Valley, the late Jim Barry's estate now totals over 200 hectares in this superb wine-growing region. The Lodge Hill site was originally meant for Riesling, but instead was chosen to make this premium, reserved Shiraz. The inky blackcurrant and boysenberry fruit is lifted by violet and menthol notes, with smooth tannins still providing plenty of grip. The finish is long and rich. Drink this wine now, or over the next 5 years to soften the dense fruit, matching it to grilled meats, lasagne and casseroles.",https://www.majestic.co.uk/The-Lodge-Hill-Shiraz-zid19958
52,France,Grenache,Non,Red Wine,Spicy Reds,Screwcap,13.5,10.1,"The Chapoutier family have produced wines in the Rhône Valley since 1808. Michel Chapoutier, currently in charge, has combined tradition with a dynamic, creative approach and makes some of the best wines of the region. A superb wine with rich aromas of dark fruit, earthy minerals and spice. Soft and round on the palate with smooth tannins, rich blackberry and cherry fruit, hints of liquorice and a substantial finish. This wine can be enjoyed over the next several years and will superbly partner most rich meat dishes.",https://www.majestic.co.uk/Cotes-du-Rhone-Belleruche-zid06533
53,New Zealand,Sauvignon Blanc,Dry,White Wine,Tropical Whites,Screwcap,13.0,9.8,"From the Wairau Valley in Marlborough, where Goldwater Estates practices sustainable viticulture and strict selection, comes this brilliant Sauvignon Blanc. Some lees ageing imparts it with complexity and texture. Offers masses of elderberry fruit and raspberry leaf aromas and exhibits an excellent minerally finish along the lines of Sancerre. Perfect with seafood or salads.",https://www.majestic.co.uk/Goldwater-Sauvignon-Blanc-zid37069
54,Italy,Primitivo,Non,Red Wine,Smooth Reds,Natural Cork,14.0,10.5,"Primitivo is a grape indigenous to Italy and the eastern Mediterranean, now more commonly known as Zinfandel. This wine is made by over-ripening the grapes on the vine, then harvesting and fermenting them over a lengthy 20 days, then oak-ageing to create a rich style. Deep, dense ruby in colour, with a nose of warm prunes, dates and figs, with hints of sweet spice. Full and voluptuous, the mouth-feel is soft and plush, with toasty notes that linger on the finish. Try with venison, or pan-fried calves' liver.",https://www.majestic.co.uk/Surani-Costarossa-zid13073
